City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-06-04 23:52:13,42.6001,-73.9662,75.78,78,58,3.18
1,Batsfjord,NO,2021-06-04 23:51:46,70.6345,29.7185,47.61,87,77,8.77
2,Pevek,RU,2021-06-04 23:52:13,69.7008,170.3133,38.41,89,100,7.7
3,Callaguip,PH,2021-06-04 23:52:13,18.0714,120.4867,80.62,83,90,14.72
4,Progreso,MX,2021-06-04 23:52:14,21.2833,-89.6667,85.1,76,63,16.2
5,East London,ZA,2021-06-04 23:49:12,-33.0153,27.9116,54.48,57,4,7.36
6,Tawang,IN,2021-06-04 23:52:14,27.5833,91.8667,54.14,87,63,0.81
7,Tombouctou,ML,2021-06-04 23:52:14,20.0,-3.0,94.1,13,55,9.37
8,Provideniya,RU,2021-06-04 23:52:15,64.3833,-173.3,39.52,61,61,8.5
9,Eufaula,US,2021-06-04 23:52:15,31.8913,-85.1455,80.64,78,40,4.61
10,Georgetown,MY,2021-06-04 23:51:14,5.4112,100.3354,81.9,91,20,3.0
11,Rikitea,PF,2021-06-04 23:52:15,-23.1203,-134.9692,75.27,77,75,13.47
12,Hanchuan,CN,2021-06-04 23:52:16,30.65,113.7667,73.51,71,57,10.04
13,Belmonte,BR,2021-06-04 23:52:16,-15.8631,-38.8828,75.7,87,99,10.2
14,Boa Vista,BR,2021-06-04 23:52:16,2.8197,-60.6733,84.18,70,75,3.44
15,Castro,BR,2021-06-04 23:52:17,-24.7911,-50.0119,58.01,88,0,3.65
16,Barrow,US,2021-06-04 23:52:17,71.2906,-156.7887,33.82,86,90,11.5
17,Vila Velha,BR,2021-06-04 23:52:17,-20.3297,-40.2925,75.15,89,20,4.61
18,Richards Bay,ZA,2021-06-04 23:52:18,-28.783,32.0377,58.53,81,73,8.32
19,Cape Town,ZA,2021-06-04 23:47:46,-33.9258,18.4232,56.1,77,0,4.83
20,Port Alfred,ZA,2021-06-04 23:49:19,-33.5906,26.891,54.45,71,1,8.9
21,Hami,CN,2021-06-04 23:52:18,42.8,93.45,81.34,23,62,14.58
22,Vaini,TO,2021-06-04 23:52:18,-21.2,-175.2,75.36,73,40,2.3
23,Ushuaia,AR,2021-06-04 23:49:23,-54.8,-68.3,31.66,86,40,5.75
24,Maceio,BR,2021-06-04 23:49:57,-9.6658,-35.7353,74.64,88,20,12.03
25,Mattru,SL,2021-06-04 23:52:19,7.6244,-11.8332,77.0,94,99,2.68
26,Biloela,AU,2021-06-04 23:52:19,-24.4167,150.5,64.13,41,1,18.12
27,New Norfolk,AU,2021-06-04 23:52:19,-42.7826,147.0587,50.92,64,100,1.99
28,Kimbe,PG,2021-06-04 23:52:20,-5.5502,150.1429,83.3,78,94,1.19
29,Coquimbo,CL,2021-06-04 23:51:54,-29.9533,-71.3436,56.93,94,90,4.29
30,Adrar,MR,2021-06-04 23:52:20,20.5022,-10.0711,92.1,21,4,23.31
31,Bluff,NZ,2021-06-04 23:52:20,-46.6,168.3333,49.8,69,100,17.81
32,Butaritari,KI,2021-06-04 23:52:21,3.0707,172.7902,82.74,67,97,3.44
33,Olden,NO,2021-06-04 23:52:21,61.8364,6.8064,62.17,76,99,3.38
34,Qaanaaq,GL,2021-06-04 23:52:21,77.484,-69.3632,32.56,82,55,1.83
35,Port Elizabeth,ZA,2021-06-04 23:52:22,-33.918,25.5701,48.49,87,0,8.05
36,Buraydah,SA,2021-06-04 23:52:22,26.326,43.975,91.85,12,11,6.73
37,Atuona,PF,2021-06-04 23:52:22,-9.8,-139.0333,79.32,80,28,18.66
38,Mataura,NZ,2021-06-04 23:52:23,-46.1927,168.8643,49.48,70,100,5.82
39,Poum,NC,2021-06-04 23:52:23,-20.2333,164.0167,75.34,67,86,5.23
40,Kapaa,US,2021-06-04 23:52:23,22.0752,-159.319,81.12,77,90,3.0
41,Chuy,UY,2021-06-04 23:52:24,-33.6971,-53.4616,62.2,98,72,7.96
42,Muscat,OM,2021-06-04 23:52:24,23.6139,58.5922,86.72,71,0,3.22
43,Tuktoyaktuk,CA,2021-06-04 23:52:24,69.4541,-133.0374,39.2,81,90,13.8
44,Yangjiang,CN,2021-06-04 23:52:25,21.85,111.9667,77.13,83,100,3.91
45,Galesong,ID,2021-06-04 23:52:25,-5.3166,119.3661,77.02,75,83,6.49
46,Hirara,JP,2021-06-04 23:52:25,24.8,125.2833,84.47,84,75,17.27
47,Beloha,MG,2021-06-04 23:52:26,-25.1667,45.05,64.13,86,6,9.31
48,Punta Arenas,CL,2021-06-04 23:50:48,-53.15,-70.9167,33.91,93,90,3.4
49,Tual,ID,2021-06-04 23:52:26,-5.6667,132.75,81.81,73,79,19.01
50,Basco,PH,2021-06-04 23:52:26,20.4487,121.9702,83.93,80,100,20.54
51,Puerto Ayora,EC,2021-06-04 23:52:27,-0.7393,-90.3518,73.54,87,84,5.99
52,Fort Nelson,CA,2021-06-04 23:51:26,58.8053,-122.7002,69.39,26,75,4.61
53,Tamiahua,MX,2021-06-04 23:52:27,21.2667,-97.45,83.71,64,91,8.7
54,Yellowknife,CA,2021-06-04 23:52:27,62.456,-114.3525,63.12,63,40,4.61
55,Komsomolskiy,UZ,2021-06-04 23:52:28,40.4272,71.7189,76.42,40,0,4.61
56,Mayo,US,2021-06-04 23:52:28,38.8876,-76.5119,82.81,80,20,1.99
57,Pietarsaari,FI,2021-06-04 23:52:28,63.65,22.6833,53.89,74,97,7.05
58,Muriti,TZ,2021-06-04 23:52:29,-1.9833,32.9167,74.3,65,92,1.61
59,Mabaruma,GY,2021-06-04 23:52:29,8.2,-59.7833,75.25,93,99,4.21
60,Riverton,US,2021-06-04 23:52:29,40.5219,-111.9391,99.1,15,1,5.99
61,Baruun-Urt,MN,2021-06-04 23:52:30,46.6806,113.2792,65.62,36,18,10.58
62,Sochi,RU,2021-06-04 23:52:17,43.6,39.7303,57.29,86,99,9.4
63,Mwene-Ditu,CD,2021-06-04 23:52:30,-7.0,23.45,69.33,61,37,3.58
64,Constitucion,CL,2021-06-04 23:52:30,-35.3333,-72.4167,54.63,86,100,9.86
65,Grindavik,IS,2021-06-04 23:52:31,63.8424,-22.4338,48.15,100,75,6.8
66,Necochea,AR,2021-06-04 23:52:31,-38.5473,-58.7368,55.31,81,100,5.59
67,Dongsheng,CN,2021-06-04 23:52:31,39.8161,109.9776,64.51,21,0,6.24
68,Hermanus,ZA,2021-06-04 23:52:31,-34.4187,19.2345,52.9,81,5,10.98
69,Mazyr,BY,2021-06-04 23:52:32,52.0495,29.2456,56.32,77,97,5.5
70,Sao Filipe,CV,2021-06-04 23:52:32,14.8961,-24.4956,74.61,73,54,12.33
71,Trincomalee,LK,2021-06-04 23:52:32,8.5711,81.2335,80.37,78,100,13.67
72,Saint-Joseph,RE,2021-06-04 23:52:33,-21.3667,55.6167,71.96,80,17,6.89
73,Busselton,AU,2021-06-04 23:52:33,-33.65,115.3333,54.09,84,94,3.06
74,Bathsheba,BB,2021-06-04 23:52:33,13.2167,-59.5167,81.21,65,20,21.03
75,Kodiak,US,2021-06-04 23:52:34,57.79,-152.4072,54.91,58,40,4.61
76,Yaan,NG,2021-06-04 23:52:21,7.3833,8.5667,73.69,95,93,8.03
77,Chickasha,US,2021-06-04 23:52:34,35.0526,-97.9364,85.12,67,89,9.93
78,Bereda,ES,2021-06-04 23:52:34,43.2686,-7.5406,47.95,100,4,2.82
79,Puerto Maldonado,PE,2021-06-04 23:52:35,-12.6,-69.1833,72.12,96,100,1.88
80,Jamestown,US,2021-06-04 23:52:35,42.097,-79.2353,76.32,64,75,10.36
81,Lieksa,FI,2021-06-04 23:52:35,63.3167,30.0167,50.86,68,14,5.61
82,Atyrau,KZ,2021-06-04 23:52:36,47.1167,51.8833,60.82,94,40,4.47
83,Avarua,CK,2021-06-04 23:52:36,-21.2078,-159.775,78.85,73,75,14.97
84,Caravelas,BR,2021-06-04 23:52:36,-17.7125,-39.2481,73.26,88,77,6.67
85,Hasaki,JP,2021-06-04 23:52:37,35.7333,140.8333,69.19,79,99,12.35
86,Ambon,ID,2021-06-04 23:52:37,-3.6954,128.1814,78.94,89,75,9.37
87,Tsabong,BW,2021-06-04 23:52:37,-26.0217,22.401,49.75,34,0,10.09
88,Thompson,CA,2021-06-04 23:52:38,55.7435,-97.8558,60.96,72,75,11.5
89,Dalhousie,IN,2021-06-04 23:52:38,32.5333,75.9833,58.59,52,100,8.1
90,Rotenburg,DE,2021-06-04 23:52:38,53.1167,9.4,67.78,68,99,4.0
91,Goderich,CA,2021-06-04 23:52:38,43.7501,-81.7165,79.12,47,30,9.22
92,Ribeira Grande,PT,2021-06-04 23:52:39,38.5167,-28.7,63.77,86,98,7.11
93,Campo Alegre,BR,2021-06-04 23:52:39,-9.7819,-36.3508,72.68,95,19,3.53
94,Bredasdorp,ZA,2021-06-04 23:52:39,-34.5322,20.0403,52.29,100,2,3.78
95,Sinnamary,GF,2021-06-04 23:52:40,5.3833,-52.95,77.16,91,42,9.64
96,Saskylakh,RU,2021-06-04 23:49:38,71.9167,114.0833,35.8,78,98,10.6
97,Camaqua,BR,2021-06-04 23:52:40,-30.8511,-51.8122,66.2,88,22,4.41
98,Kruisfontein,ZA,2021-06-04 23:49:59,-34.0033,24.7314,47.7,76,0,4.65
99,Volnovakha,UA,2021-06-04 23:52:40,47.601,37.4967,51.94,92,100,6.31
100,Dandong,CN,2021-06-04 23:52:41,40.1292,124.3947,68.29,58,33,10.09
101,Sebastian,US,2021-06-04 23:52:41,35.1668,-94.2669,82.96,76,96,3.36
102,Labytnangi,RU,2021-06-04 23:52:41,66.6572,66.4183,51.85,64,65,15.61
103,Drayton Valley,CA,2021-06-04 23:48:00,53.2168,-114.9854,62.94,66,63,17.05
104,Dikson,RU,2021-06-04 23:49:33,73.5069,80.5464,29.79,97,100,14.7
105,Upernavik,GL,2021-06-04 23:49:44,72.7868,-56.1549,32.49,75,58,9.31
106,Gidole,ET,2021-06-04 23:52:42,5.65,37.3667,54.7,87,27,2.19
107,Mahebourg,MU,2021-06-04 23:52:42,-20.4081,57.7,72.25,100,75,13.8
108,Chopovychi,UA,2021-06-04 23:52:43,50.8332,28.9533,57.58,70,99,4.81
109,Cabo San Lucas,MX,2021-06-04 23:49:50,22.8909,-109.9124,95.81,51,5,11.9
110,Kahului,US,2021-06-04 23:52:43,20.8947,-156.47,87.82,63,20,21.85
111,Cukai,MY,2021-06-04 23:52:43,4.25,103.4167,78.94,88,100,5.39
112,Mar Del Plata,AR,2021-06-04 23:52:44,-38.0023,-57.5575,56.08,84,0,1.01
113,Hualmay,PE,2021-06-04 23:52:44,-11.0964,-77.6139,64.36,84,3,10.8
114,Pauini,BR,2021-06-04 23:52:44,-7.7136,-66.9764,78.37,62,100,0.56
115,Bako,ET,2021-06-04 23:52:44,5.7833,36.5667,62.98,82,33,3.6
116,Petropavlovsk-Kamchatskiy,RU,2021-06-04 23:52:45,53.0452,158.6483,52.21,55,100,4.43
117,Gat,IL,2021-06-04 23:52:39,31.61,34.7642,68.68,100,0,0.63
118,Hobart,AU,2021-06-04 23:52:45,-42.8794,147.3294,51.26,64,75,1.99
119,Severo-Kurilsk,RU,2021-06-04 23:52:46,50.6789,156.125,45.46,84,100,18.61
120,Tungor,RU,2021-06-04 23:52:46,53.3808,142.9564,38.21,97,100,18.01
121,Tyukhtet,RU,2021-06-04 23:52:46,56.5389,89.3011,43.56,93,100,8.66
122,Hilo,US,2021-06-04 23:52:47,19.7297,-155.09,86.29,63,1,11.5
123,Sao Felix Do Xingu,BR,2021-06-04 23:52:47,-6.6447,-51.995,74.61,85,46,3.13
124,Povenets,RU,2021-06-04 23:52:47,62.8487,34.8262,51.33,71,28,2.73
125,Bethel,US,2021-06-04 23:49:41,41.3712,-73.414,72.43,85,1,1.01
126,Sao Domingos,BR,2021-06-04 23:52:48,-13.3983,-46.3183,70.74,48,23,6.58
127,Bubaque,GW,2021-06-04 23:52:48,11.2833,-15.8333,79.39,81,42,13.69
128,Norman Wells,CA,2021-06-04 23:52:48,65.282,-126.8329,62.64,45,40,19.57
129,Broome,US,2021-06-04 23:50:28,42.2506,-75.833,74.17,44,17,1.83
130,Torbay,CA,2021-06-04 23:52:49,47.6666,-52.7314,55.67,97,90,23.02
131,Kirchlinteln,DE,2021-06-04 23:52:49,52.95,9.3167,67.86,83,100,6.58
132,Fukue,JP,2021-06-04 23:52:49,32.6881,128.8419,66.56,94,75,3.44
133,Lazo,RU,2021-06-04 23:52:50,43.3817,133.9014,61.65,66,59,6.53
134,Lagoa,PT,2021-06-04 23:52:50,39.05,-27.9833,62.24,89,100,10.18
135,Nakamura,JP,2021-06-04 23:52:50,32.9833,132.9333,68.94,73,100,2.13
136,Henderson,US,2021-06-04 23:48:09,36.0397,-114.9819,110.64,7,1,1.99
137,Atasu,KZ,2021-06-04 23:52:51,48.6814,71.6433,40.73,60,15,15.84
138,Melenki,RU,2021-06-04 23:52:51,55.3343,41.6295,52.79,72,86,10.71
139,Neuquen,AR,2021-06-04 23:52:51,-38.9516,-68.0591,53.49,58,0,2.3
140,Sitka,US,2021-06-04 23:52:52,57.0531,-135.33,55.29,54,90,9.22
141,Arraial Do Cabo,BR,2021-06-04 23:52:52,-22.9661,-42.0278,73.76,87,0,14.97
142,Ponta Do Sol,PT,2021-06-04 23:52:52,32.6667,-17.1,66.0,68,36,7.0
143,Bambous Virieux,MU,2021-06-04 23:52:53,-20.3428,57.7575,72.21,100,75,16.49
144,Te Anau,NZ,2021-06-04 23:52:53,-45.4167,167.7167,55.18,79,100,9.86
145,Chokurdakh,RU,2021-06-04 23:52:53,70.6333,147.9167,62.31,61,100,5.91
146,Geraldton,AU,2021-06-04 23:52:54,-28.7667,114.6,46.81,87,0,6.82
147,Okhotsk,RU,2021-06-04 23:52:54,59.3833,143.3,43.32,82,16,8.95
148,Tenango,MX,2021-06-04 23:52:54,18.65,-98.1833,78.98,55,98,8.16
149,Bonavista,CA,2021-06-04 23:51:48,48.6499,-53.1147,57.2,96,100,15.17
150,Novonukutskiy,RU,2021-06-04 23:52:55,53.7002,102.7117,65.28,69,99,4.65
151,Airai,TL,2021-06-04 23:52:55,-8.9266,125.4092,66.09,64,67,3.94
152,Washington,US,2021-06-04 23:51:20,47.5001,-120.5015,79.2,19,36,7.9
153,Karpogory,RU,2021-06-04 23:52:55,64.0019,44.4451,56.34,71,16,4.56
154,Port-Gentil,GA,2021-06-04 23:52:56,-0.7193,8.7815,78.76,89,40,9.22
155,Lodja,CD,2021-06-04 23:50:52,-3.4833,23.4333,70.34,83,92,1.03
156,Jasper,US,2021-06-04 23:51:17,37.2001,-94.3502,81.36,54,1,5.77
157,Fairbanks,US,2021-06-04 23:52:04,64.8378,-147.7164,67.03,50,90,11.5
158,Vallenar,CL,2021-06-04 23:52:56,-28.5708,-70.7581,58.51,80,52,1.77
159,Lata,PT,2021-06-04 23:52:57,40.1629,-8.3327,58.82,89,78,2.17
160,Mayumba,GA,2021-06-04 23:52:57,-3.432,10.6554,75.88,94,57,5.44
161,Vila Franca Do Campo,PT,2021-06-04 23:52:57,37.7167,-25.4333,63.01,78,100,3.67
162,Inhambane,MZ,2021-06-04 23:52:58,-23.865,35.3833,64.29,77,73,14.38
163,Laguna,US,2021-06-04 23:52:58,38.421,-121.4238,101.1,33,1,5.01
164,Pisco,PE,2021-06-04 23:52:58,-13.7,-76.2167,62.02,87,6,3.22
165,Speedway,US,2021-06-04 23:52:58,39.8023,-86.2672,84.54,44,1,8.05
166,Wagar,SD,2021-06-04 23:52:59,16.1525,36.2032,87.03,22,6,5.7
167,Longyearbyen,SJ,2021-06-04 23:52:59,78.2186,15.6401,33.64,80,75,12.66
168,Caarapo,BR,2021-06-04 23:52:59,-22.6342,-54.8222,71.44,49,9,8.1
169,Hushitai,CN,2021-06-04 23:53:00,41.9322,123.5114,64.31,49,73,13.18
170,Beira,MZ,2021-06-04 23:53:00,-19.8436,34.8389,62.91,73,3,13.33
171,Nikolskoye,RU,2021-06-04 23:53:00,59.7035,30.7861,55.29,77,2,1.7
172,Cherskiy,RU,2021-06-04 23:50:02,68.75,161.3,67.62,31,100,17.18
173,Flinders,AU,2021-06-04 23:53:01,-34.5833,150.8552,56.8,68,3,1.01
174,San Policarpo,PH,2021-06-04 23:53:01,12.1791,125.5072,79.86,83,100,4.09
175,Hanzhong,CN,2021-06-04 23:53:01,33.0728,107.0303,70.38,67,1,1.99
176,Lavrentiya,RU,2021-06-04 23:49:36,65.5833,-171.0,33.28,90,99,6.46
177,Tiksi,RU,2021-06-04 23:53:02,71.6872,128.8694,37.83,86,100,6.53
178,Faya,SA,2021-06-04 23:53:02,18.3851,42.4509,68.11,21,42,3.65
179,Srednekolymsk,RU,2021-06-04 23:53:02,67.45,153.6833,73.56,22,100,23.58
180,Faanui,PF,2021-06-04 23:53:03,-16.4833,-151.75,80.22,78,70,9.62
181,Saint George,US,2021-06-04 23:53:03,37.1041,-113.5841,106.27,11,1,1.01
182,Zhenhai,CN,2021-06-04 23:53:03,24.2582,118.0905,74.08,91,100,10.6
183,Bose,IT,2021-06-04 23:53:04,45.4612,8.0137,65.79,92,68,4.47
184,Codrington,AU,2021-06-04 23:53:04,-38.2667,141.9667,50.67,70,100,19.48
185,Ambilobe,MG,2021-06-04 23:53:04,-13.2,49.05,68.79,93,5,3.02
186,Bengkulu,ID,2021-06-04 23:50:25,-3.8004,102.2655,74.93,92,97,4.23
187,Scottsbluff,US,2021-06-04 23:53:05,41.8666,-103.6672,95.77,18,0,1.99
188,Narsaq,GL,2021-06-04 23:53:05,60.9167,-46.05,38.12,83,99,1.63
189,Leningradskiy,RU,2021-06-04 23:53:05,69.3833,178.4167,34.12,94,71,9.04
190,Carnarvon,AU,2021-06-04 23:53:05,-24.8667,113.6333,50.07,93,0,9.22
191,Bull Savanna,JM,2021-06-04 23:53:06,17.8868,-77.5902,77.65,80,36,9.78
192,Ust-Nera,RU,2021-06-04 23:51:56,64.5667,143.2,67.62,33,84,3.24
193,Mutoko,ZW,2021-06-04 23:53:06,-17.397,32.2268,53.29,56,100,7.27
194,Sovetskiy,RU,2021-06-04 23:53:07,61.3614,63.5842,53.85,53,45,8.25
195,Kavieng,PG,2021-06-04 23:50:59,-2.5744,150.7967,84.29,72,39,11.27
196,Sehithwa,BW,2021-06-04 23:53:07,-20.4667,22.7167,49.32,56,0,6.38
197,Lengshuijiang,CN,2021-06-04 23:53:07,27.6881,111.4294,70.32,72,9,2.21
198,Tahe,CN,2021-06-04 23:53:08,52.3333,124.7333,56.25,60,89,8.28
199,Raahe,FI,2021-06-04 23:53:08,64.6833,24.4833,53.69,72,86,7.67
200,Haines Junction,CA,2021-06-04 23:53:08,60.7522,-137.5108,62.55,23,38,6.91
201,Korla,CN,2021-06-04 23:53:09,41.7597,86.1469,76.5,27,58,9.51
202,Umm Kaddadah,SD,2021-06-04 23:53:09,13.6017,26.6876,83.37,46,99,17.22
203,Byron Bay,AU,2021-06-04 23:53:09,-28.65,153.6167,69.06,65,13,14.34
204,Songea,TZ,2021-06-04 23:53:10,-10.6833,35.65,57.49,92,6,2.37
205,Banda Aceh,ID,2021-06-04 23:53:10,5.5577,95.3222,78.22,73,100,11.61
206,Roald,NO,2021-06-04 23:50:14,62.5833,6.1333,62.17,100,0,3.44
207,Yar-Sale,RU,2021-06-04 23:53:10,66.8333,70.8333,50.77,59,99,19.42
208,Muros,ES,2021-06-04 23:49:40,42.7762,-9.0603,55.83,69,10,9.01
209,Evanston,US,2021-06-04 23:53:11,42.0411,-87.6901,89.96,29,14,3.0
210,Talnakh,RU,2021-06-04 23:53:11,69.4865,88.3972,31.35,98,100,8.63
211,Victoria,HK,2021-06-04 23:51:02,22.2855,114.1577,80.94,84,100,5.99
212,Fort-Shevchenko,KZ,2021-06-04 23:53:12,44.5086,50.263,71.08,72,50,15.17
213,Clyde River,CA,2021-06-04 23:53:12,70.4692,-68.5914,32.23,86,90,5.75
214,Hamilton,US,2021-06-04 23:48:42,39.1834,-84.5333,85.05,52,1,5.06
215,Brae,GB,2021-06-04 23:53:13,60.3964,-1.353,46.31,84,22,2.39
216,Saint-Philippe,RE,2021-06-04 23:53:13,-21.3585,55.7679,72.95,85,39,10.87
217,Playas,EC,2021-06-04 23:53:13,-2.6333,-80.3833,72.73,85,44,12.3
218,Hithadhoo,MV,2021-06-04 23:53:13,-0.6,73.0833,81.86,78,100,16.93
219,Trento,IT,2021-06-04 23:53:14,46.0679,11.1211,68.67,78,70,0.87
220,Acapulco,MX,2021-06-04 23:52:56,16.8634,-99.8901,86.49,60,99,6.89
221,Saint-Louis,SN,2021-06-04 23:53:14,16.3333,-15.0,98.24,23,14,11.25
222,Wanning,CN,2021-06-04 23:53:15,18.8003,110.3967,79.41,88,98,2.91
223,Pouebo,NC,2021-06-04 23:53:15,-20.4,164.5667,77.65,58,88,2.73
224,Taltal,CL,2021-06-04 23:50:20,-25.4,-70.4833,60.03,89,31,2.82
225,Luderitz,NA,2021-06-04 23:53:15,-26.6481,15.1594,70.05,28,0,21.99
226,Mumbwa,ZM,2021-06-04 23:53:16,-14.9783,27.0619,53.94,86,20,5.46
227,Moron,AR,2021-06-04 23:53:16,-34.6534,-58.6198,64.29,89,90,4.61
228,Broken Hill,AU,2021-06-04 23:53:16,-31.95,141.4333,47.91,87,0,0.0
229,Hjelset,NO,2021-06-04 23:53:17,62.7833,7.4833,61.3,77,90,2.44
230,Khatanga,RU,2021-06-04 23:53:17,71.9667,102.5,33.67,93,100,12.01
231,Ahuimanu,US,2021-06-04 23:53:17,21.4447,-157.8378,85.75,61,20,6.91
232,Nouadhibou,MR,2021-06-04 23:50:48,20.931,-17.0347,69.78,68,0,23.02
233,Itarema,BR,2021-06-04 23:53:18,-2.9248,-39.9167,79.02,78,4,13.71
234,Sindhnur,IN,2021-06-04 23:53:18,15.7833,76.7667,74.08,82,100,6.2
235,Jutai,BR,2021-06-04 23:53:18,-5.1833,-68.9,74.5,92,63,0.58
236,Waipawa,NZ,2021-06-04 23:53:19,-41.4122,175.5153,54.45,61,25,9.33
237,Klaksvik,FO,2021-06-04 23:50:54,62.2266,-6.589,49.12,97,65,15.77
238,Usinsk,RU,2021-06-04 23:53:19,65.9939,57.5281,55.49,51,76,13.02
239,San Ramon,US,2021-06-04 23:49:40,37.7799,-121.978,92.59,50,1,10.0
240,Sao Joao Da Barra,BR,2021-06-04 23:53:19,-21.6403,-41.0511,72.91,87,0,7.54
241,Marsh Harbour,BS,2021-06-04 23:53:20,26.5412,-77.0636,79.14,81,84,11.59
242,Alofi,NU,2021-06-04 23:53:20,-19.0595,-169.9187,78.69,83,65,14.97
243,Mahajanga,MG,2021-06-04 23:53:20,-15.7167,46.3167,75.22,83,20,3.44
244,Manado,ID,2021-06-04 23:49:59,1.487,124.8455,83.17,78,20,2.01
245,Yerbogachen,RU,2021-06-04 23:53:21,61.2767,108.0108,47.66,81,100,5.3
246,Lebu,CL,2021-06-04 23:53:21,-37.6167,-73.65,50.58,84,66,5.21
247,Takoradi,GH,2021-06-04 23:49:51,4.8845,-1.7554,79.25,85,63,8.41
248,Patos,BR,2021-06-04 23:53:22,-7.0244,-37.28,75.31,64,50,12.48
249,Cayenne,GF,2021-06-04 23:53:22,4.9333,-52.3333,81.09,85,0,3.0
250,Bac Lieu,VN,2021-06-04 23:53:22,9.285,105.7244,83.8,78,96,10.0
251,Mbini,GQ,2021-06-04 23:53:22,1.574,9.6134,78.64,88,63,7.27
252,Anadyr,RU,2021-06-04 23:53:23,64.75,177.4833,50.5,57,0,3.53
253,Ati,TD,2021-06-04 23:53:23,13.2154,18.3353,85.78,43,94,8.28
254,Strasice,CZ,2021-06-04 23:53:23,49.7355,13.7576,64.78,75,43,3.11
255,Tasiilaq,GL,2021-06-04 23:53:24,65.6145,-37.6368,38.05,94,100,3.0
256,Ramtek,IN,2021-06-04 23:53:24,21.4,79.3333,75.96,63,50,3.98
257,Axim,GH,2021-06-04 23:53:25,4.8699,-2.2405,78.93,86,82,9.17
258,Tilichiki,RU,2021-06-04 23:53:25,60.4667,166.1,45.77,77,98,4.43
259,Lamar,US,2021-06-04 23:53:25,33.6668,-95.5836,80.76,50,20,7.47
260,Cidreira,BR,2021-06-04 23:53:25,-30.1811,-50.2056,65.16,88,15,9.64
261,Chenzhou,CN,2021-06-04 23:53:26,25.8,113.0333,69.33,79,33,2.26
262,Esperance,AU,2021-06-04 23:53:26,-33.8667,121.9,51.64,69,15,13.06
263,Wooster,US,2021-06-04 23:53:26,40.8051,-81.9351,82.65,56,1,11.5
264,Mujiayingzi,CN,2021-06-04 23:53:27,42.1167,118.7833,67.46,34,27,17.16
265,Mogadishu,SO,2021-06-04 23:50:56,2.0371,45.3438,78.64,82,55,16.73
266,Ponta Delgada,PT,2021-06-04 23:53:27,37.7333,-25.6667,63.32,82,20,2.3
267,Kidal,ML,2021-06-04 23:53:27,18.4411,1.4078,94.57,11,19,4.9
268,Spirit River,CA,2021-06-04 23:53:28,55.7833,-118.8361,68.43,50,93,5.91
269,Altagracia De Orituco,VE,2021-06-04 23:53:28,9.8601,-66.3814,73.0,94,100,3.71
270,Zlatoust,RU,2021-06-04 23:49:04,55.1711,59.6508,38.97,70,0,2.01
271,Falun,SE,2021-06-04 23:53:28,60.6036,15.626,51.94,88,3,0.74
272,Balaipungut,ID,2021-06-04 23:53:29,1.05,101.2833,77.41,97,100,1.81
273,Saint-Ambroise,CA,2021-06-04 23:53:29,48.5501,-71.3324,73.71,49,68,1.77
274,Lugovoy,KZ,2021-06-04 23:53:29,42.9472,72.7644,73.4,32,49,10.07
275,Kaitangata,NZ,2021-06-04 23:53:29,-46.2817,169.8464,55.92,62,99,9.33
